title,artist,genre,year,album,bpm,lyrics
Fireworks,Drake;Alicia Keys,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,89,money just changed everything i wonder how life without it would go from the concrete who knew that a flower would grow looking down from the top and its crowded below my fifteen minutes started an hour ago truth over fame you know i respect the blatant shit when i hear em talking i just dont know what to make of it hate is so familiar to me im slowly embracing it doesnt come natural bear with me it could take a bit yeah and my dreams are who im racing with but you can see im pacing it so that im always chasing it wayne put me right here thats who i get the paper with i hope that my success never alters our relationship yeah this life is something i would die for octobers own but its looking like july  i just wish theyd let you try it first this time im really going off fireworks  oh today it begins ive missed them before but wont miss them again i keep having the same dream and i think that i just realized what it means  all i see is fireworks all i see is fireworks every night its fireworks every night its fireworks all i see is fireworks all i see is fireworks taking off like fireworks taking off like  oh  im just such a gentleman you should give it up for me look at how im placing all my napkins and my cutlery i could tell it wasnt love i just thought youd fuck with me who couldve predicted lucky strike would have you stuck with me damn i kept my wits about me luckily what happened between us that night it always seems to trouble me now all of a sudden these gossip rags want to cover me and you making it seem like it happened that way because of me but i was curious and ill never forget it baby what an experience you couldve been the one but it wasnt that serious there was smoke in the air before that was me clearing it that felt good all in all i learned a lesson from it though you never see it coming you just get to see it go yeah i shouldve looked up in the sky at first now i can see it in her eyes fireworks  oh today it begins ive missed them before but wont miss them again i keep having the same dream and i think that i just realized what it means  all i see is fireworks all i see is fireworks every night its fireworks every night its fireworks all i see is fireworks all i see is fireworks taking off like fireworks taking off like  oh  everything the same but it feels different my dad called me up knowing that i still listen and hes still got his foot out guilt tripping its been years though i just learn to deal with it for real me and my realtor we built up a better rapport got my mother in a place with some better decor she searched the entire city i let her explore and now shes saying she more lonely than ever before how many of our parents marriages lasted i was only  i bet i barely reacted im flying back home for the heritage classic searching for that feeling tell me where is the magic lets stay together til were ghosts i want to witness love i never seen it close yeah but i guess i gotta find it first thats why im really going off fireworks  oh today it begins ive missed them before but wont miss them again i keep having the same dream and i think that i just realized what it means  all i see is fireworks all i see is fireworks every night its fireworks every night its fireworks all i see is fireworks all i see is fireworks taking off like fireworks taking off like  oh
Karaoke,Drake,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,151,things have been so crazy and hectic i shouldve gotten back by now but you know how much i wanted to make it its probably better anyhow so if you gotta go if theres anything i should know if the spotlight makes you nervous if youre looking for a purpose  you put the tea in the kettle and light it put your hand on the metal and feel it but do you even feel it anymore i remember when you thought i was joking now im off singing karaoke further than ive ever been oh oh oh  so if you gotta go if theres any way i can help  isnt it ironic that the girl i want to marry is a wedding planner that tells me my life is too much and then moves to atlanta damn of all the places you could go i just thought youd choose somewhere that had somebody that you know im always up too late i worry bout you there alone in that place you call your home warm nights and cold patron i hope you dont get known for nothing crazy cause no man ever wants to hear those stories bout his lady i know they say the first love is the sweetest but that first cut is the deepest i tried to keep us together you were busy keeping secrets secrets you were telling everybody but me dont be fooled by the money im still just young and unlucky im surprised you couldnt tell  i was only trying to get ahead i was only trying to get ahead but the spotlight makes you nervous and youre looking for a purpose i was only trying to get ahead i was only trying to get ahead but the spotlight makes you nervous
The Resistance,Drake,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,83,yesterday when we were getting high you were invited you woulda liked it uh uh i  i know you all too well i said that we could kiss the past goodbye but you werent excited theres no way to fight it you can stay but shawty here i go  uh should i spend a weekend in vegas im living inside a moment not taking pictures to save it i mean how could i forget my memorys never faded i cant relate to these haters my enemies never made it i am still here with who i started with the game needed life i put my heart in it i blew myself up im on some martyr shit carry the weight for my city like a cargo ship uh im  with a money tree growing more too i just planted a hundred seeds its ironic cause my mother was a florist and thats how she met my pops and now my garden is enormous its happening penny lane just like you said i avoided the coke game and went with sprite instead uh uh thats word to the millions that they putting up im trying to do better than good enough  what am i afraid of this is supposed to be what dreams are made of but people i dont have the time to hang with always look at me and say the same shit they say you promised me you would never change uh uh uh uh uh uh uh you promised me you would never change uh uh uh uh uh uh uh  uh am i wrong for making light of my situation clap on when  got some shit for me to snap on now that im on i dont really want to worry bout getting back on im just trying to stay on get my fucking buffet on i heard they just moved my grandmother to a nursing home and i be acting like i dont know how to work a phone but hit re dial youll see that i just called some chick i met at the mall that i barely know at all and plus this woman that i messed with unprotected texted saying she wished she woulda kept it the one that im laying next to just looked over and read it man i couldnt tell you where the fuck my head is im holding on by a thread its like im high right now the guy right now and you could tell by looking in my eyes right now that nothing really comes as a surprise right now cause we just having the time of our lives right now  what am i afraid of this is supposed to be what dreams are made of but people i dont have the time to hang with always look at me and say the same shit they say you promised me you would never change uh uh uh uh uh uh uh you promised me you would never change uh uh uh uh uh uh uh  well alright uh i live by some advice this girl lissa told me the other day lissa told me that she miss the old me which made me question when i went missing and when i start treating my friends different maybe it was the fast paced switch up or the two guns in my face during the stick up maybe cause a girl i thought i trusted was who set the whole shit up but in fact i havent seen them since they locked big rich up i know but same time im quick to forget im bout to roll me up a blunt with my list of regrets burn it all burn it all im starting it fresh cause half the time i got it right i probably guessed did i just trade free time for camera time will i blow all of this money baby hammer time yeah i just need some closure aint no turning back for me im in it til its over
Over,Drake,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,100,uh uh young money yeah yeah yeah  i know way too many people here right now that i didnt know last year who the fuck are yall i swear it feels like the last few nights we been everywhere and back but i just cant remember it all what am i doin what am i doin oh yeah thats right im doin me im doin me im livin life right now man and this what ima do til its over til its over but its far from over  alright bottles on me long as someone drink it never drop the ball fuck are yall thinkin making sure the young money ship is never sinking about to set it off in this bitch jada pinkett i shouldnt have drove tell me how im gettin home you too fine to be layin down in bed alone i could teach you how to speak my language rosetta stone i swear this life is like the sweetest thing ive ever known about to go thriller mike jackson on these niggas all i needs a fuckin red jacket with some zippers super good smidoke a package of the swishers i did it overnight it couldnt happen any quicker yall know them well fuck it me either but point the biggest skeptic out ill make him a believer it wouldnt be the first time id done it throwin hundreds when i should be throwin ones bitch i run it ahh  i know way too many people here right now that i didnt know last year who the fuck are yall i swear it feels like the last few nights we been everywhere and back but i just cant remember it all what am i doin what am i doin oh yeah thats right im doin me im doin me im livin life right now man and this what ima do til its over til its over but its far from over  uh one thing bout music when it hits you feel no pain and i swear i got this shit that make these bitches go insane so they tell me that they love me i know better than that its just game its just what comes with the fame and im ready for that im just sayin but i really cant complain everything is kosher two thumbs up ebert and roeper i really cant see the end gettin any closer but ill probably still be the man when everything is over so im ridin through the city with my high beams on can you see me can you see me get your visine on yall just do not fit the picture turn your widescreen on if you thinkin ima quit before i die dream on man they treat me like a legend am i really this cold im really too young to be feelin this old its about time you admit it who you kiddin man nobodys ever done it like i did it uh  i know way too many people here right now that i didnt know last year who the fuck are yall i swear it feels like the last few nights we been everywhere and back but i just cant remember it all what am i doin what am i doin oh yeah thats right im doin me im doin me im livin life right now man and this what ima do til its over til its over but its far from over yeah thats right im doin me im doin me im livin life right now man and this what ima do til its over til its over but its far from over uh
Show Me a Good Time,Drake,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,128,how did i end up right here with you after all the things that ive been through its been one of those days you try and forget about take a shot and let it out lets get right now that im here baby  show me a good time aw yeah aw yeah show me a good time aw yeah aw yeah show me a good show me a good show me a good time aw yeah aw yeah  i live for the nights that i cant remember with the people that i wont forget spending all the money i just worked my ass off for doing things that i wont regret ive been waiting way too long long long long telling everybody that i know we about to be on on on on i aint trying to look like i lied to these niggas that i came up with thats my team never would i let a woman come between what we doing right now this our dream wu tang clan niggas want that cream im the osiris to this shit right now go to guy for the hits right now whatever you wanna drink girl pick right now if you cant hold your liquor better quit right now uh  how did i end up right here with you after all the things that ive been through its been one of those days you try and forget about take a shot and let it out lets get right now that im here baby  show me a good time aw yeah aw yeah show me a good time aw yeah aw yeah show me a good show me a good show me a good time aw yeah aw yeah  yeah uhh how about you and all your morals in that outfit that you borrowed make the most out of tonight and worry bout it all tomorrow understand girl we fam girl cant get me right and not do wayne cash money young money pop champagne presidential suite girl barack hussein tell me can we kick it like ali shaheed and phife dawg people really hate when a backpack rapper get rich and start living that life dawg feels like when you get into that paper hip hop hates you they would do it just like i do if they could its in our nature ahh young and rich and out of control out in la blowing clouds of the killa i came up in the underground though so imma spend another  for dilla call me overrated or created or too jaded because any way you put it bitch i made it yup  how did i end up right here with you after all the things that ive been through its been one of those days you try and forget about take a shot and let it out lets get right now that im here baby  show me a good time aw yeah aw yeah show me a good time aw yeah aw yeah show me a good show me a good show me a good time aw yeah aw yeah show me a good time aw yeah aw yeah show me a good time aw yeah aw yeah show me a good show me a good show me a good time aw yeah aw yeah
Up All Night,Drake;Nicki Minaj,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,156,kush rolled glass full i prefer the better things niggas with no money act like money isnt everything im havin a good time they just trying to ruin it shout out to the fact that im the youngest nigga doing it cap on brim bent denzel every time she aint tryna pop that shit for pimp okay well nevermind i i i tried to told you drizzy still aint nothin nice bracelet saying you should quit cars saying fuck your life okay now we outta here toodles to you bitches and if you dolled up i got the voodoo for you bitches yeah im busy gettin rich i dont want trouble i made enough for two niggas boy stunt double fame is like a drug that ive taken too much of but i never ever trip just peace happiness and love i got money in these jeans so they fit me kinda snug plus the game is in my pocket nigga this is what i does ahh  im about whatever man fuck what they be talkin about they opinion doesnt count we the only thing that matters aww so we do it how we do it all up in your face man i hate to put you through it i be up all night whole crews in here cause i dont really know who ima lose this year aww man i love my team man i love my team i would die for them niggas aww  drizzy say get her ima get her i got the kind of money make a broke bitch bitter i got that kinda wait wait fixate which bitch you know made a million off a mixtape that was just a keepsake bought the president the louis presidential briefcase never been a cheapskate we got the hawks i aint talkin about the peach state man for petes sake scratch that sweepstakes ha ha ha ha ha fuck i look like ho i look like yes and you look like no im a bad bitch i aint never been a mixed breed on a diet but im doin donuts in a  speed m in front of m i see a lot of rap bitches on the menu but i collect  thou at the venue and pop bottles with my team young money til the death of me  im about whatever man fuck what they be talkin about they opinion doesnt count we the only thing that matters aww so we do it how we do it all up in your face man i hate to put you through it i be up all night whole crews in here cause i dont really know who ima lose this year aww man i love my team man i love my team i would die for them niggas aww  i mean we cant even rock them shoes if it dont got a comma on the price tag you know i mean i mean but then again who who looks at the price tag you know aww yeah we in this bitch uhh aww aww aww aww yeah we in this bitch aww aww aww  im about whatever man fuck what they be talkin about they opinion doesnt count we the only thing that matters aww so we do it how we do it all up in your face man i hate to put you through it i be up all night whole crews in here cause i dont really know who ima lose this year aww man i love my team man i love my team i would die for them niggas aww im about whatever man fuck what they be talkin about they opinion doesnt count we the only thing that matters aww so we do it how we do it all up in your face man i hate to put you through it i be up all night whole crews in here cause i dont really know who ima lose this year aww man i love my team man i love my team i would die for them niggas aww
Fancy,Drake;Swizz Beatz;T.I.,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,87,a go go head go go go a go go go head go go go a go go go go go go head a go go go go go a go head  oh you fancy huh oh you fancy huh oh you fancy huh oh you fancy huh nails done hair done everything did nails done hair done everything did oh you fancy huh oh you fancy huh you you fancy huh oh you fancy huh nails done hair done everything did n n nails done hair done everything did oh you fancy huh  uh you getting ready so i know we gon be here awhile in the bathroom flat irons and nail files spending hours in salons on your hairstyle in the mall steady racking up the air miles hit the gym step on the scales stare at the number you say you droppin  pounds preparin for summer and you dont do it for the man men never notice you just do it for yourself you the fucking coldest intelligent too ooh you my sweetheart ive always liked my women book and street smart long as they got a lil class like half days and the confidence to overlook my past ways time heals all and heels hurt to walk in but they go with the clutch that you carry your lip gloss in and look i really think nobody does it better i love the way that you put it together uh  oh you fancy huh oh you fancy huh oh you fancy huh oh you fancy huh nails done hair done everything did nails done hair done everything did oh you fancy huh oh you fancy huh you you fancy huh oh you fancy huh nails done hair done everything did n n ails done hair done everything did sup girl oh you fancy huh  well arent you a breath of fresh air from all these superficial gold digging bitches in here they get a baller figure they aint got to pick a career guess they plan on sucking dicks until some millions appear like voil you do it right he just might buy you a car man she play these suckers just like bob play the guitar now here you are with your girls having drinks at the bar i say im buying you decline that is kinda bizarre independent with the demeanor of an rb singer naked ring finger m bimmer champagne range triple white jag closet full of brand new clothes and handbags alexander mcqueen prada gucci chanel dg bcbg versace louis and bebe you aint needy greedy or easy as these other breezys who fuck for bottles of riesling and bowls of baked ziti  oh you fancy huh oh you fancy huh oh you fancy huh oh you fancy huh nails done hair done everything did n n nails done hair done oh everything did oh you fancy huh oh you fancy huh you you fancy huh oh you fancy huh nails done hair done everything did n n nails done uh hair done oh everything did oh you fancy huh  atlanta girls woo let me see your hands yeah wave em at them bitches hating on you with they friends come on girl you got it let em know that everything big nails done hair done everything big and my ny girls woo let me see your hands wave em at them bitches hating on you with they friends come on girl you got it let em know that everything big nails done hair done everything big and my la girls let me see your hands wave em at them bitches hating on you with they friends come on girl you got it let em know that everything big nails done hair done everything big and my to girls let me see your hands wave em at them bitches hating on you with they friends yeah girl you got it let em know that everything big nails done hair done nails done hair done say go cinderella go cinderella orgasm blush lipstick and concealer devil in a tight dress girl you a killer and aint nobody realer and aint nobody realer go go go go go go go go showtime go go go go go as we proceed  uh  and a half in boys ass is off the hook cinderella bout to lose the glass off her foot and when i find it is when i find you and we can do the things we never got the time to better late than never but never late is better they tell me time is money well well spend it together im down for whatever you just lead the way we go to dinner you dont even look at me to pay mature women with more than me were the first to tempt me and jason had this girl tammy with a purple bentley how she got it i aint never get to ask i just knew that she was fine like a ticket on the dash yeah but shout out to the homeowners the girls that got diplomas and enough money to loan us a little something extra should we ever need it if it sounds like you then let me hear you repeat it  oh you fancy huh oh you fancy huh oh you fancy huh oh you fancy huh nails done hair done everything did n n nails done hair done everything did oh you fancy huh oh you fancy huh you you fancy huh oh you fancy huhnails done hair done everything did n n nails done hair done everything did oh you fancy huh you fancy
Shut It Down,Drake;The‐Dream,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,120,hey oh oh these girls aint got nothing on you  uh say baby i had to mention that if you were a star youd be the one im searching for other girls they they got attention but i just always feel like theyre in need of something you got its obvious youre pretty heard that youre a student working weekends in the city tryna take you out girl hope youre not too busy and if theres nothing wrong got this little song for you to get ready to put those fucking heels on and work it girl let that mirror show you what youre doing put that fucking dress on and work it kind of vicious like somebodys taking pictures  shut it down aye down aye down aye you would shut it down aye down aye down aye youd be the baddest girl around aye round aye round aye and theyd notice theyd notice you would shut it down aye down aye down aye you would shut it down aye down aye down aye youd be the baddest girl around aye round aye round aye and theyd notice theyd notice you would shut it   hey oh oh these girls aint got nothing on you they aint got nothing on you they aint got nothing on you ki killa killa  uh girl you the greatest and if he say you aint girl hes out his mind you the finest oh woah and if he say you aint that boy done lost his mind hey baby every time you come around shutting it down like computers hey lady step into my heart and let me put you in them louboutins what you want what you need yeah i can be yeah your everything them other niggas just wanna hit it but if they had it wouldnt know what to do with it  and together we shut it down  aye down aye down aye they know wed shut it down you would shut it down aye down aye down aye youd be the baddest girl around aye round aye round aye and theyd notice  theyd know  theyd notice  theyd know  you would shut it down aye down aye down aye they know wed shut it down you would shut it down aye down aye down aye every time we come  around  aye round aye round aye  and theyre on it  and theyd notice  theyd know   theyd notice theyd know you shut it down  tmz concrete loop you shut that motherfucker down down ice cream conversations they all want the scoop you shut that motherfucker down down  shooting stars all around her fire comets yes indeed i could bring her through and shut em down onyx no youre not imagining theyre looking at you long stares even though shes standing out she look like she belongs here you feel the hours pass until ya find somethin i feel like when she moves the time doesnt yeah baby you finer than your fine cousin and your cousin fine but she aint got my heart beating double time you just shut it down girl who told the cops where the party was why do i feel like i found the one whats in these shots that you ordered us damn i mean you sure know how to paint a town ever since you came around its obvious   you shut that thing down you shut it down down aye down aye down aye you shut it down you shut it down down aye down aye down aye you shut it down you shut it down youd be the baddest girl around aye round aye round aye you shut it oh oh and theyd notice theyd notice  you looking good girl go go go get em girl go go go hit em girl go go go go go go you looking good girl go go go get em girl go go go hit em girl go go go go go go you shut it down you shut it down down down down down   the way im feeling things i say all just happen when you pass my way oh what can i do to make you stay i know its getting late but girl i dont want you to leave you tell me youre just not the type you wanna do this right and im not tryna say i dont believe you but i refuse to feel ashamed and if you feel the same does waiting really make us better people take those fucking heels off its worth it girl nothing is what i can picture you in so take that fucking dress off i swear you wont forget me youll be happy that you let me  lay you down down down im tryna lay you down down down you still the baddest girl around round round theyd notice theyd notice let me lay you down down down tryna lay you down down down you still the baddest girl around round round and theyd notice theyd notice you would shut it
Unforgettable,Drake;Jeezy,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,156,let me know let me know ah let me know let me know let me know uh yeah  this is really one of my dumbest flows ever i havent slept in days and me and my latest girl agreed to go our separate ways so im single thinkin bout what we had and missin you but i aint santa i got somethin for these bad bitches too i mean paparazzi on me tryin not to get caught out they always seem to catch me with the woman that i brought out baby dont hold on too long cause thats how them stories start out and all the girls that played me eat your motherfuckin heart out its drizzy always gone but never hard to find and since you cant escape me do i ever cross your mind because all this shit is new to me im learnin to behave and still spendin every dollar they encourage me to save but im good i know that niggas would kill for this lifestyle im lookin forward to the memories of right now never forgettin from where i came and no matter where im headed i promise to stay the same im just  im just ridin round the city with my hood on and my windows down ask your girl im the realest nigga she been around when i pull up in something new and park it by the haters and when you get to talkin bout the greatest i just really hope that  i just really hope that youll think of me  i just really hope that  youll think of me  i just really hope that  youll think of me  im doing my thang im doing my thang im doing my thang  cause im tryna be unforgettable   this might just be my realest flow ever when i say for life yall say forever ever its hard but its fair i told that girl life hurts the closest you gon get to this is a pac t shirt yuh the names young baby you know i live that thug life life the good die young so ima need a thug wife yeah im talkin his and her firearms know our jewelry probably louder than a car alarm yeah yeah i member i used to have to sneak the car car now my insides looking like a snickers bar yeah im talkin caramel leathers damn right so fly i need feathers woah same shit in them streets so whats the dilly young done everything in the a but fuck chilli haha so welcome to my life no two days the same like for yall to meet the love of my life her names the game  im just ridin round the city with my hood on and my windows down ask your girl im the realest nigga she been around when i pull up in something new and park it by the haters and when you get to talkin bout the greatest i just really hope that  i just really hope that youll think of me  i just really hope that  youll think of me  i just really hope that  youll think of me  im doing my thang im doing my thang im doing my thang  cause im tryna be unforgettable   got my top dropped on this beautiful night its a beautiful night to live my beautiful life pain hurts like a cut from a beautiful knife just know she right here on my hip my beautiful wife yeah drizzy we got em lil bruh unforgettable youll never forget this ya understand me timeless homie unforgettable let me know let me know
Light Up,Drake;JAY‐Z,contemporary r&b;hip hop;hip hop rap;pop;pop rap,2010,Thank Me Later,173,uh ive been up for four days gettin money both ways dirty and clean i could use a glass of cold spades rolexes chauffers and low fades i keep thinkin how young can you die from old age they always tell me nobodys workin as hard as you and even though i laugh it off man its probably true cause while all of my closest friends out partyin im just here makin all the music that they party to but party on party on all night nigga i got these new rappers nervous prom night nigga i grow tired of these fuckin grown man liars storytellers they aint even need a campfire uh but i just want to tell the truth before one of these haters load a couple shells and shoot the shit feel like when fredro starr was in sunset park stuntin hard in his yellow goose   yeah and im a motherfuckin missed target but a target nonetheless and i just started was that directed at moi cant be they must be talkin to themselves hov hands free yeah and im just fillin up this daily planner gettin busy cause im a star no spangled banner jealous dudes get to talkin in they music and i just say i wrote it for your girlfriends kelsey grammer yeah thats what life becomes when youre doin you welcome to hollywood dont let this town ruin you and if you pillow talkin with the women that are screwin you just know that she gon tell another nigga when she through with you dont get impatient when it takes too long drink it all even when it tastes too strong yeah i got to feel alive even if it kills me promise to always give you me the real me  who wouldve thought id be caught in this life lets celebrate with a toast and get lost in tonight and make it all light up ay guru tell tell homegirl to open that ace right there wait until the sun goes down we gon make this bitch light up even when the sun goes down ima make it go  oww hoes turn they heads like owls im the man of the hour triple entendre dont even ask me how con edison flow im connected to a higher power bright lightsll make your whole city light up a trillion watt light bulb when im in the night club i just landed in that g caught the mayweather fight cause the satellite was crispy uhh yall can miss me with the money talk the smart moneys on hov fuck what the dummies talk uhh i dont do too much bloggin i just run the town i dont do too much joggin mm i aint got a scar yet cause you fuckin around with me and my dogs is far fetched drake heres how they gon come at you with silly rap feuds tryin to distract you in disguise in the form of a favor the barzini meeting watch for the traitors uhh i done seen it all done it all thats why none of these dum dums could done him off the summers ours the winter too top down in the winter thats what winners do and to these niggas im like windows  you let them tell it they swear that they invented you and since no good deed go unpunished im not as cool with niggas as i once was i once was cool as the fonz was but these bright lights turned me to a monster sorry mama i promised it wouldnt change me but i would have went insane had i remained the same me fuck niggas bitches too all i got is this money   thisll do  who wouldve thought id be caught in this life lets celebrate with a toast and get lost in tonight and make it all light up wait until the sun goes down we gon make this bitch light up even when the sun goes down ima make it go
